variable_pre13,variable_std,description,pre13_file,variable_post13
Own Hospital-Oth Cap Outlay,Own Hospital-Oth Cap Outlay,    Other capital outlays........................................................................................................,b.Txt.calculate,DDD
Hosp-Other-Total Exp,Hosp-Other-Total Exp,"Other Hospitals, Total................................................................................................................",b.Txt,-38
Hosp-Other-Direct Exp,Hosp-Other-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-38
Hosp-Other-Curr Ops,Hosp-Other-Curr Ops,    Current operations..............................................................................................,b.Txt.calculate,E38
Hosp-Other-Cap Outlay,Hosp-Other-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Hosp-Other-Construct,Hosp-Other-Construct,      Construction...............................................................................................................,b.Txt,F38
Hosp-Other-Oth Cap Outlay,Hosp-Other-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G38
Hosp-Other-IG To State,Hosp-Other-IG To State,    To state government..........................................................................................................,b.Txt,L38
Hosp-Other-IG-Loc Govts,Hosp-Other-IG-Loc Govts,"    To local governments, total (includes N38, O38, P38, and R38)........................",b.Txt,M38
Total Highways-Tot Exp,Total Highways-Total Exp,"Total Highways, Total (sum of highway codes -44 and -45)............................................................................................................",b.Txt,DDD
Total Highways-Dir Exp,Total Highways-Direct Exp,  Direct Expenditure.............................................................................................................,b.Txt,DDD
Total Highways-Curr Ops,Total Highways-Curr Ops,    Current operations............................................................................................,b.Txt.calculate,DDD
Total Highways-Cap Out,Total Highways-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Total Highways-Construct,Total Highways-Construct,      Construction.......................................................................................................,b.Txt,DDD
Total Highways-Oth Cap Outlay,Total Highways-Oth Cap Outlay,      Other capital outlays........................................................................................................,b.Txt.calculate,DDD
Regular Hwy-Total Exp,Regular Hwy-Total Exp,"Regular Highways, Total (includes -45, Toll Highways, prior to FY 1977)................................",b.Txt,-44
Regular Hwy-Direct Exp,Regular Hwy-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-44
Regular Hwy-Curr Ops,Regular Hwy-Curr Ops,    Current operations......................................................................................,b.Txt.calculate,E44
Regular Hwy-Cap Outlay,Regular Hwy-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Regular Hwy-Construct,Regular Hwy-Construct,      Construction...............................................................................................................,b.Txt,F44
Regular Hwy-Oth Cap Outlay,Regular Hwy-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G44
Regular Hwy-IG To Sta,Regular Hwy-IG To Sta,    To state government......................................................................................................,b.Txt,L44
Regular Hwy-IG-Loc Govts,Regular Hwy-IG-Loc Govts,"    To local governments, total (includes N44, O44, P44, and R44)........................",b.Txt,M44
Toll Hwy-Total Expend,Toll Hwy-Total Exp,"Toll Highways, Total  (included in Regular Highways prior to FY 1977)................",b.Txt,-45
Toll Hwy-Direct Exp,Toll Hwy-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt.calculate,-45
Toll Hwy-Curr Ops,Toll Hwy-Curr Ops,    Current operations...........................................................................................................,b.Txt.calculate,E45
Toll Hwy-Cap Outlay,Toll Hwy-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Toll Hwy-Construction,Toll Hwy-Construct,      Construction...............................................................................................................,b.Txt,F45
Toll Hwy-Oth Cap Outlays,Toll Hwy-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G45
Transit Sub-Total Exp,Transit Sub-Total Exp,"Transit Subsidies, Total.........................................................................................................",b.Txt,-47
Transit Sub-Direct Sub,Transit Sub-Direct Sub,  Direct subsidies to private transit companies.....................................................,b.Txt,E47
Transit Sub-IG To Sta,Transit Sub-IG To Sta,    To state government (includes L94).........................................................................,b.Txt,L47
Transit Sub-IG-Loc Govts,Transit Sub-IG-Loc Govts,"    To local governments, total (includes N47, O47, P47, R47, and M94).....................",b.Txt,M47
Transit Sub-To Own Sys,Transit Sub-To Own Sys,  Exhibit: Contribution to own transit system........................................................,b.Txt,Z61
Hous & Com-Total Exp,Hous & Com-Total Exp,"Housing and Community Development, Total...................................................",b.Txt,-50
Hous & Com-Direct Exp,Hous & Com-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-50
Hous & Com-Curr Ops,Hous & Com-Curr Ops,    Current operations..........................................................................................,b.Txt.calculate,E50
Hous & Com-Cap Outlay,Hous & Com-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Hous & Com-Construct,Hous & Com-Construct,      Construction...............................................................................................................,b.Txt,F50
Hous & Com-Oth Cap Outlay,Hous & Com-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G50
Hous & Com-IG To State,Hous & Com-IG To State,    To state government..........................................................................................................,b.Txt,L50
Hous & Com-IG-Loc Govts,Hous & Com-IG-Loc Govts,"    To local governments, total (includes N50, O50, P50, and R50)........................",b.Txt,M50
Libraries-Total Expend,Libraries-Total Exp,"Libraries, Total.......................................................................................................",b.Txt,-52
Libraries-Direct Exp,Libraries-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-52
Libraries-Curr Ops,Libraries-Curr Ops,    Current operations............................................................................................,b.Txt.calculate,E52
Libraries-Cap Outlay,Libraries-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Libraries-Construction,Libraries-Construct,      Construction...............................................................................................................,b.Txt,F52
Libraries-Oth Cap Outlay,Libraries-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G52
Libraries-IG To State,Libraries-IG To State,    To state government..........................................................................................................,b.Txt,L52
Libraries-IG-Local Govts,Libraries-IG-Local Govts,"    To local governments, total (includes N52, O52, P52, and R52)........................",b.Txt,M52
Natural Res-Total Exp,Natural Res-Total Exp,"Natural Resources, Total..................................................................................",b.Txt,-59
Natural Res-Direct Exp,Natural Res-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-59
Natural Res-Curr Ops,Natural Res-Curr Ops,    Current operations.................................................................................................................,b.Txt.calculate,E59
Natural Res-Cap Outlay,Natural Res-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Natural Res-Construct,Natural Res-Construct,      Construction...............................................................................................................,b.Txt,F59
Natural Res-Oth Cap Outlay,Natural Res-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G59
Natural Res-IG To Sta,Natural Res-IG To Sta,    To state government..........................................................................................................,b.Txt,L59
Natural Res-IG-Loc Govts,Natural Res-IG-Loc Govts,"    To local governments, total (includes N59, O59, P59, and R59)........................",b.Txt,M59
Parking-Total Expend,Parking-Total Exp,"Parking Facilities, Total........................................................................................................",b.Txt,-60
Parking-Direct Expend,Parking-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-60
Parking-Curr Ops,Parking-Curr Ops,    Current operations...........................................................................................................,b.Txt.calculate,E60
Parking-Capital Outlay,Parking-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Parking-Construction,Parking-Construct,      Construction...............................................................................................................,b.Txt,F60
Parking-Oth Cap Outlay,Parking-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G60
Parking-IG-To State,Parking-IG-To State,    To state government..........................................................................................................,b.Txt,L60
Parking-IG-Local Govts,Parking-IG-Local Govts,"    To local governments, total (includes N60, O60, P60, and R60)........................",b.Txt,M60
Parks & Rec-Total Exp,Parks & Rec-Total Exp,"Parks and Recreation, Total......................................................................................................",b.Txt,-61
Parks & Rec-Direct Exp,Parks & Rec-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-61
Parks & Rec-Curr Ops,Parks & Rec-Curr Ops,    Current operations............................................................................................,b.Txt.calculate,E61
Parks & Rec-Cap Outlay,Parks & Rec-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Parks & Rec-Construct,Parks & Rec-Construct,      Construction...............................................................................................................,b.Txt,F61
Parks & Rec-Oth Cap Outlay,Parks & Rec-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G61
Parks & Rec-IG To Sta,Parks & Rec-IG To Sta,    To state government..........................................................................................................,b.Txt,L61
Parks & Rec-IG-Loc Govts,Parks & Rec-IG-Loc Govts,"    To local governments, total (includes N61, O61, P61, and R61)........................",b.Txt,M61
Police Prot-Total Exp,Police Prot-Total Exp,"Police Protection, Total.........................................................................................................",b.Txt,-62
Police Prot-Direct Exp,Police Prot-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-62
Police Prot-Curr Ops,Police Prot-Curr Ops,    Current operations..............................................................................................,b.Txt.calculate,E62
Police Prot-Cap Outlay,Police Prot-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Police Prot-Construct,Police Prot-Construct,      Construction...............................................................................................................,b.Txt,F62
Police Prot-Oth Cap Outlay,Police Prot-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G62
Police Prot-IG To Sta,Police Prot-IG To Sta,    To state government..........................................................................................................,b.Txt,L62
Police Prot-IG-Loc Govts,Police Prot-IG-Loc Govts,"    To local governments, total (includes N62, O62, P62, and R62)........................",b.Txt,M62
Prot Insp-Total Exp,Prot Insp-Total Exp,"Protective Inspection and Regulation, NEC.............................................................",b.Txt,-66
Prot Insp-Direct Exp,Prot Insp-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-66
Prot Insp-Curr Ops,Prot Insp-Curr Ops,    Current operations...........................................................................................................,b.Txt.calculate,E66
Prot Insp-Cap Outlay,Prot Insp-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Prot Insp-Construction,Prot Insp-Construct,      Construction...............................................................................................................,b.Txt,F66
Prot Insp-Oth Cap Outlay,Prot Insp-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G66
Prot Insp-IG To State,Prot Insp-IG To State,    To state government..........................................................................................................,b.Txt,L66
Prot Insp-IG-Local Govts,Prot Insp-IG-Local Govts,"    To local governments, total (includes N66, O66, P66, and R66)........................",b.Txt,M66
Public Welf-Total Exp,Public Welf-Total Exp,"Public Welfare, Total............................................................................................................",b.Txt,DDD
Public Welf-Direct Exp,Public Welf-Direct Exp,  Direct Expenditure.............................................................................................................,b.Txt,DDD
Public Welf-Curr Ops,Public Welf-Curr Ops,    Current operations...........................................................................................................,b.Txt.calculate,DDD
Public Welf-Cash Asst,Public Welf-Cash Assist,    Cash assistance payments...............................................................................,b.Txt,DDD
Public Welf-Cap Outlay,Public Welf-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Public Welf-Construct,Public Welf-Construct,      Construction.......................................................................................................,b.Txt,DDD
Public Welf-Oth Cap Outlay,Public Welf-Oth Cap Outlay,      Other capital outlays........................................................................................................,b.Txt.calculate,DDD
Welf-Categ-Total Exp,Welf_Categ-Total Exp,"Public Welfare-Categorical Assistance Programs, Total.........................................",b.Txt,-67
Welf-Categ-Cash Assist,Welf_Categ-Cash Assist,  Cash assistance payments....................................................................................,b.Txt,J67
Welf-Categ-IG To State,Welf_Categ-IG To State,    To state government..........................................................................................................,b.Txt,L67
Welf-Categ-IG-Loc Govts,Welf_Categ-IG-Loc Govts,"    To local governments, total (includes N67, O67, P67, and R67)........................",b.Txt,M67
Welf-Cash-Total Exp,Welf_Cash-Total Exp,"Public Welfare-Other Assistance Programs, Total......................................................",b.Txt,-68
Welf-Cash-Cash Assist,Welf_Cash-Cash Assist,  Cash assistance payments.......................................................................................................,b.Txt,J68
Welf-Cash-IG-Local Govts,Welf_Cash-IG-Local Govts,"    To local governments, total (includes N68, O68, P68, and R68)........................",b.Txt,M68
Welf-Vend Pmts-Medical,Welf-Vend Pmts-Medical,  For medical care...............................................................................................................,b.Txt,E74
Welf-Vend Pmts-NEC,Welf-Vend Pmts-NEC,  For other purposes.............................................................................................................,b.Txt,E75
Welf-State Share Part D,Welf-State Share Part D,State share of Medicare Part D (prescription drug coverage).................................................,b.Txt,S74
Welf-Ins-Total Exp,Welf_Ins-Total Exp,"Public Welfare-Institutions, Total...........................................................................",b.Txt,-77
Welf_Ins-Direct Exp,Welf_Ins-Direct Exp,  Direct Expenditure.............................................................................................................,b.Txt.calculate,-77
Welf-Ins-Curr Ops,Welf_Ins-Curr Ops,    Current operations...........................................................................................................,b.Txt.calculate,E77
Welf-Ins-Cap Outlay,Welf_Ins-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Welf-Ins-Construction,Welf_Ins-Construct,      Construction...............................................................................................................,b.Txt,F77
Welf-Ins-Oth Cap Outlay,Welf_Ins-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G77
Welf-NEC-Total Expend,Welf_NEC-Total Exp,"Public Welfare-NEC, Total........................................................................................................",b.Txt,-79
Welf-NEC-Direct Expend,Welf_NEC-Direct Exp,  Direct expenditure.............................................................................................................,b.Txt,-79
Welf-NEC-Curr Ops,Welf_NEC-Curr Ops,    Current operations...........................................................................................,b.Txt.calculate,E79
Welf-NEC-Cap Outlay,Welf_NEC-Cap Outlay,    Capital outlays..............................................................................................................,b.Txt,DDD
Welf-NEC-Construction,Welf_NEC-Construct,      Construction...............................................................................................................,b.Txt,F79
Welf-NEC-Oth Cap Outlay,Welf_NEC-Oth Cap Outlay,      Other capital outlays......................................................................................................,b.Txt.calculate,G79
Welf-NEC-IG To State,Welf_NEC-IG To State,    To state government..........................................................................................................,b.Txt,L79
Welf-NEC-IG-Local Govts,Welf_NEC-IG-Local Govts ,"    To local governments, total (includes N79, O79, P79, and R79)........................",b.Txt,M79
Sewerage-Total Expend,Sewerage-Total Exp,"Sewerage, Total.............................................................................................................",c.Txt,-80
Sewerage-Direct Expend,Sewerage-Direct Exp,  Direct expenditure.............................................................................................................,c.Txt,-80
Sewerage-Curr Ops,Sewerage-Curr Ops,    Current operations...........................................................................................................,c.Txt.calculate,E80
Sewerage-Cap Outlay,Sewerage-Cap Outlay,    Capital outlays..............................................................................................................,c.Txt,DDD
Sewerage-Construction,Sewerage-Construct,      Construction...............................................................................................................,c.Txt,F80
Sewerage-Oth Cap Outlay,Sewerage-Oth Cap Outlay,      Other capital outlays......................................................................................................,c.Txt.calculate,G80
Sewerage-IG To State,Sewerage-IG To State,    To state government..........................................................................................................,c.Txt,L80
Sewerage-IG-Local Govts,Sewerage-IG-Local Govts,"    To local governments, total (includes N80, O80, P80, and R80)........................",c.Txt,M80
SW Mgmt-Total Expend,SW Mgmt-Total Exp,"Solid Waste Management, Total..................................................................................",c.Txt,-81
SW Mgmt-Direct Expend,SW Mgmt-Direct Exp,  Direct expenditure.............................................................................................................,c.Txt,-81
SW Mgmt-Curr Ops,SW Mgmt-Curr Ops,    Current operations...........................................................................................................,c.Txt.calculate,E81
SW Mgmt-Capital Outlay,SW Mgmt-Cap Outlay,    Capital outlays..............................................................................................................,c.Txt,DDD
SW Mgmt-Construction,SW Mgmt-Construct,      Construction...............................................................................................................,c.Txt,F81
SW Mgmt-Oth Cap Outlay,SW Mgmt-Oth Cap Outlay,      Other capital outlays......................................................................................................,c.Txt.calculate,G81
SW Mgmt-IG To State,SW Mgmt-IG To State,    To state government..........................................................................................................,c.Txt,L81
SW Mgmt-IG-Local Govts,SW Mgmt-IG-Local Govts,"    To local governments, total (includes N81, O81, P81, and R81)........................",c.Txt,M81
Water Trans-Total Exp,Water Trans-Total Exp,Sea and Inland Port Facilities...........................................................................................,c.Txt,-87
Water Trans-Direct Exp,Water Trans-Direct Exp,  Direct expenditure.............................................................................................................,c.Txt,-87
Water Trans-Curr Ops,Water Trans-Curr Ops,    Current operations...........................................................................................,c.Txt.calculate,E87
Water Trans-Cap Outlay,Water Trans-Cap Outlay,    Capital outlays..............................................................................................................,c.Txt,DDD
Water Trans-Construct,Water Trans-Construct,      Construction...............................................................................................................,c.Txt,F87
Water Trans-Oth Cap Outlay,Water Trans-Oth Cap Outlay,      Other capital outlays......................................................................................................,c.Txt.calculate,G87
Water Trans-IG To Sta,Water Trans-IG To Sta,    To state government..........................................................................................................,c.Txt,L87
Water Trans-IG-Loc Govts,Water Trans-IG-Loc Govts,"    To local governments, total (includes N87, O87, P87, and R87)........................",c.Txt,M87
Interest on Gen Debt,Interest on Gen Debt,Interest on General Debt.........................................................................................................,c.Txt,I89
General NEC-Total Exp,General NEC-Total Exp,"General Expenditure NEC, Total (includes any amounts for codes -84 & -85)......................................",c.Txt,-89
General NEC-Direct Exp,General NEC-Direct Exp,  Direct expenditure.............................................................................................................,c.Txt,-89
General NEC-Curr Ops,General NEC-Curr Ops,    Current operations (includes any amounts for code E84).....................................................,c.Txt.calculate,E89
General NEC-Cap Outlay,General NEC-Cap Outlay,    Capital outlays..............................................................................................................,c.Txt,DDD
General NEC-Construct,General NEC-Construct,      Construction...............................................................................................................,c.Txt,F89
General NEC-Oth Cap Outlay,General NEC-Oth Cap Outlay,      Other capital outlays......................................................................................................,c.Txt.calculate,G89
General NEC-IG To St,General NEC-IG To St,"    To state government (includes L91, L92, and L93).........................................",c.Txt,L89
General NEC-IG-Loc Govts,General NEC-IG-Loc Govts,"    To local governments, total (incl N89, O89, P89, R89, M91, M92, and M93)........................",c.Txt,M89
General NEC-IG To Fed,General NEC-IG To Fed,    To Federal Government........................................................................................................,c.Txt,S89
Liquor Stores-Tot Exp,Liquor Stores-Total Exp,"Liquor Stores, Total.................................................................................................",c.Txt,-90
Liquor Stores-Curr Ops,Liquor Stores-Curr Ops,  Current operations...............................................................................................,c.Txt.calculate,E90
Liquor Stores-Cap Out,Liquor Stores-Cap Outlay,  Capital outlays.....................................................................................................,c.Txt,DDD
Liquor Stores-Constr,Liquor Stores-Construct,    Construction.......................................................................................................,c.Txt,F90
Liquor Stores-Oth Cap Out,Liquor Stores-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,G90
Total Util-Total Exp,Total Util-Total Exp,"Total Utilities, Total...........................................................................................................",c.Txt,DDD
Total Util-Inter Exp,Total Util-Inter Exp,  Interest on debt...............................................................................................................,c.Txt,DDD
Total Util-Curr Ops,Total Util-Curr Ops,  Current operations.............................................................................................................,c.Txt.calculate,DDD
Total Util-Cap Outlay,Total Util-Cap Outlay,  Capital outlays......................................................................................................,c.Txt,DDD
Total Util-Construct,Total Util-Construct,    Construction.......................................................................................................,c.Txt,DDD
Total Util-Oth Cap Outlay,Total Util-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,DDD
Water Util-Total Exp,Water Util-Total Exp,"Water Supply Utilities, Total..................................................................................",c.Txt,-91
Water Util-Inter Exp,Water Util-Inter Exp,  Interest on debt...............................................................................................................,c.Txt,I91
Water Util-Curr Ops,Water Util-Curr Ops,  Current operations.............................................................................................................,c.Txt.calculate,E91
Water Util-Cap Outlay,Water Util-Cap Outlay,  Capital outlays......................................................................................................,c.Txt,DDD
Water Util-Construct,Water Util-Construct,    Construction.......................................................................................................,c.Txt,F91
Water Util-Oth Cap Outlay,Water Util-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,G91
Elec Util-Total Exp,Elec Util-Total Exp,"Electric Power Utilities, Total................................................................................",c.Txt,-92
Elec Util-Inter Exp,Elec Util-Inter Exp,  Interest on debt...............................................................................................................,c.Txt,I92
Elec Util-Curr Ops,Elec Util-Curr Ops,  Current operations.............................................................................................................,c.Txt.calculate,E92
Elec Util-Cap Outlay,Elec Util-Cap Outlay,  Capital outlays......................................................................................................,c.Txt,DDD
Elec Util-Construct,Elec Util-Construct,    Construction.......................................................................................................,c.Txt,F92
Elec Util-Oth Cap Outlay,Elec Util-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,G92
Gas Util-Total Exp,Gas Util-Total Exp,"Gas Supply Utilities, Total......................................................................................",c.Txt,-93
Gas Util-Inter Exp,Gas Util-Inter Exp,  Interest on debt...............................................................................................................,c.Txt,I93
Gas Util-Curr Ops,Gas Util-Curr Ops,  Current operations.............................................................................................................,c.Txt.calculate,E93
Gas Util-Cap Outlay,Gas Util-Cap Outlay,  Capital outlays......................................................................................................,c.Txt,DDD
Gas Util-Construct,Gas Util-Construct,    Construction.......................................................................................................,c.Txt,F93
Gas Util-Oth Cap Outlay,Gas Util-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,G93
Trans Util-Total Exp,Trans Util-Total Exp,"Transit System Utilities, Total..............................................................................",c.Txt,-94
Trans Util-Inter Exp,Trans Util-Inter Exp,  Interest on debt...............................................................................................................,c.Txt,I94
Trans Util-Curr Ops,Trans Util-Curr Ops,  Current operations.............................................................................................................,c.Txt.calculate,E94
Trans Util-Cap Outlay,Trans Util-Cap Outlay,  Capital outlays......................................................................................................,c.Txt,DDD
Trans Util-Construct,Trans Util-Construct,    Construction.......................................................................................................,c.Txt,F94
Trans Util-Oth Cap Outlay,Trans Util-Oth Cap Outlay,    Other capital outlays........................................................................................................,c.Txt.calculate,G94
Emp Ret-Total Expend,Emp Ret-Total Exp,"Employee Retirement, Total.......................................................................................................",c.Txt,DDD
Emp Ret-Benefit Paymts,Emp Ret-Benefit Paymts,  Benefit payments...............................................................................................................,c.Txt,X11
Emp Ret-Withdrawals,Emp Ret-Withdrawals,  Withdrawals...............................................................................................................,c.Txt,X12
Emp Ret-Other Paymts,Emp Ret-Other Paymts,  Other payments (Exhibit item-not included in C995).............................................,c.Txt,X14
Unemp Comp-Total Exp,Unemp Comp-Total Exp,"Unemployment Compensation, Total (Washington DC only for local govts).........................................",c.Txt,DDD
Unemp Comp-Ben Paymts,Unemp Comp-Ben Paymts,  Benefit payments...............................................................................................................,c.Txt,Y05
Unemp-Ext & Spec Pmts,Unemp-Ext & Spec Pmts,  Extended and special payments.............................................................................,c.Txt,Y06
Total Debt Outstanding,Total Debt Outstanding,Total Debt Outstanding at End of Fiscal Year...............................................................,c.Txt,DDD
Total Long-Term Debt Out,Total Long-Term Debt Out,  Long-term only.......................................................................................................,c.Txt,DDD
ST Debt-End of Year,ST Debt-End of Year,  Short-term only......................................................................................................,c.Txt,64V
Total Beg LTD Out,Total Beg LTD Out,Long-Term Debt Outstanding at Beginning of Fiscal Year:   Total.................................................................................................................,c.Txt,19-
Beg LTD Out-Private Purp,Beg LTD Out-Private Purp,    Public debt for private purposes (N/A before FY 1982).............................................................................................................,c.Txt,19T
Beg LTD Out-All Other,Beg LTD Out-All Other,"    All other general functions, NEC.................................................................................................................................",c.Txt,19U
Beg LTD Out-Utility,Beg LTD Out-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
Beg LTD Out-Water Util,Beg LTD Out-Water Util,      Water supply..............................................................................................................,c.Txt,19A
Beg LTD Out-Elec Util,Beg LTD Out-Elec Util,      Electric power............................................................................................................,c.Txt,19B
Beg LTD Out-Gas Util,Beg LTD Out-Gas Util,      Gas supply......................................................................................................,c.Txt,19C
Beg LTD Out-Trans Util,Beg LTD Out-Trans Util,      Transit systems...........................................................................................................,c.Txt,19D
Beg LTD Out-General,Beg LTD Out-General,"    General, total..............................................................................................................",c.Txt,DDD
Beg LTD Out-Education,Beg LTD Out-Education,"      Education, NEC............................................................................................................",c.Txt,19H
Beg LTD Out-Priv Purp,Beg LTD Out-Priv Purp,      Public debt for private purposes (includes 19W)..............................................,c.Txt,19T
Beg LTD Out-Other NEC,Beg LTD Out-Other NEC,"      All other general functions, NEC.....................................................................",c.Txt,19X
Total LTD Issued,Total LTD Issued,Total Long-Term Debt Issued During Fiscal Year (all types):  Total.........................................................................................................................,c.Txt,2--
LTD Iss-Private Purp,LTD Iss-Private Purp,    Public debt for private purposes (N/A before FY 1982).............................................................................................................,c.Txt,24T
LTD Iss-All Other,LTD Iss-All Other,"    All other general functions, NEC.................................................................................................................................",c.Txt,29U
LTD Iss-Utility,LTD Iss-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Iss-Util-Water,LTD Iss-Util-Water,      Water supply..............................................................................................................,c.Txt,2-A
LTD Iss-Util-Electric,LTD Iss-Util-Electric,      Electric power............................................................................................................,c.Txt,2-B
LTD Iss-Util-Gas Supply,LTD Iss-Util-Gas Supply,      Gas supply......................................................................................................,c.Txt,2-C
LTD Iss-Util-Transit,LTD Iss-Util-Transit,      Transit systems...........................................................................................................,c.Txt,2-D
LTD Iss-General,LTD Iss-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Iss-Gen-Elem Educ,LTD Iss-Gen-Elem Educ,        Elementary and secondary education........................................................,c.Txt,2-F
LTD Iss-Gen-Other Educ,LTD Iss-Gen-Other Educ,        Higher and other education (includes 2-H)..............................................,c.Txt,2-G
LTD Iss-Gen-Other NEC,LTD Iss-Gen-Other NEC,"      All other general functions, NEC (includes 24T).......................................................",c.Txt,2-X
Total LTD Iss-FFC,Total LTD Iss-FFC,"Long-Term Debt Issued, Full-Faith and Credit (Note: Also includes Unspecified Debt issued):  Total................................................................................................................",c.Txt,21/29-
LTD Iss-FFC-Utility,LTD Iss-FFC-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Iss-FFC-Water Util,LTD Iss-FFC-Water Util,      Water supply..............................................................................................................,c.Txt,21/29A
LTD Iss-FFC-Elec Util,LTD Iss-FFC-Elec Util,      Electric power............................................................................................................,c.Txt,21/29B
LTD Iss-FFC-Gas Util,LTD Iss-FFC-Gas Util,      Gas supply......................................................................................................,c.Txt,21/29C
LTD Iss-FFC-Trans Util,LTD Iss-FFC-Trans Util,      Transit systems...........................................................................................................,c.Txt,21/29D
LTD Iss-FFC-General,LTD Iss-FFC-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Iss-FFC-Elem Educ,LTD Iss-FFC-Elem Educ,        Elementary and secondary education...............................................................,c.Txt,21/29F
LTD Iss-FFC-Other Educ,LTD Iss-FFC-Other Educ,        Higher and other education (includes 21/29H).........................................,c.Txt,21/29G
LTD Iss-FFC-Other NEC,LTD Iss-FFC-Other NEC,"      All other general functions, NEC......................................................................",c.Txt,21/29X
Total LTD Iss-NG,Total LTD Iss-NG,"Long-Term Debt Issued, Nonguaranteed:  Total...............................................................................................................",c.Txt,24-
LTD Iss-NG-Utility,LTD Iss-NG-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Iss-NG-Water Util,LTD Iss-NG-Water Util,      Water supply..............................................................................................................,c.Txt,24A
LTD Iss-NG-Elec Util,LTD Iss-NG-Elec Util,      Electric power............................................................................................................,c.Txt,24B
LTD Iss-NG-Gas Util,LTD Iss-NG-Gas Util,      Gas supply......................................................................................................,c.Txt,24C
LTD Iss-NG-Trans Util,LTD Iss-NG-Trans Util,      Transit systems...........................................................................................................,c.Txt,24D
LTD Iss-NG-General,LTD Iss-NG-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Iss-NG-Elem Educ,LTD Iss-NG-Elem Educ,        Elementary and secondary education...............................................................,c.Txt,24F
LTD Iss-NG-Other Educ,LTD Iss-NG-Other Educ,        Higher and other education (includes 24H)............................................,c.Txt,24G
LTD Iss-NG-Private Purp,LTD Iss-NG-Private Purp,      Public debt for private purposes (includes 24W)..............................................,c.Txt,24T
LTD Iss-NG-Other NEC,LTD Iss-NG-Other NEC,"      All other general functions, NEC........................................................................",c.Txt,24X
Total LTD Iss-Unsp,Total LTD Iss-Unsp,"Long-Term Debt Issued, Unspecified (Note: Also included in Full-Faith and Credit debt issued):  Total..............................................................................................................",c.Txt,29-
LTD Iss-Unsp-Utility,LTD Iss-Unsp-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Iss-Unsp-Water Util,LTD Iss-Unsp-Water Util,      Water supply..............................................................................................................,c.Txt,29A
LTD Iss-Unsp-Elec Util,LTD Iss-Unsp-Elec Util,      Electric power............................................................................................................,c.Txt,29B
LTD Iss-Unsp-Gas Util,LTD Iss-Unsp-Gas Util,      Gas supply......................................................................................................,c.Txt,29C
